GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G0201700","2010","4","9","Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,,,"Matanuska-Susitna Borough",,88995,88995,44236,0,44236,44759,0,88995,75540,856,4901,1096,221,640,5741
"G0201800","2010","4","9","Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Nome Census Area",,9492,9492,3222,0,3222,6270,0,9492,1552,27,7199,96,9,22,587
"G0201850","2010","4","9","Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"North Slope Borough",,9430,9430,3835,0,3835,5595,0,9430,3147,94,5100,425,104,67,493
"G0201880","2010","4","9","Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Northwest Arctic Borough",,7523,7523,3200,0,3200,4323,0,7523,846,37,6121,42,12,17,448
"G0201950","2010","4","9","Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Petersburg Census Area",,3815,3815,0,0,0,3815,0,3815,2711,15,614,100,7,42,326
"G0201980","2010","4","9","Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area",,5559,5559,0,0,0,5559,0,5559,2799,17,2207,21,21,20,474
"G0202200","2010","4","9","Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sitka City and Borough",,8881,8881,7027,0,7027,1854,0,8881,5798,47,1493,529,30,113,871
"G0202300","2010","4","9","Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Skagway Municipality",,968,968,0,0,0,968,0,968,885,0,34,5,1,4,39
"G0202400","2010","4","9","Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Southeast Fairbanks Census Area",,7029,7029,0,0,0,7029,0,7029,5651,76,808,64,18,69,343
"G0202610","2010","4","9","Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Valdez-Cordova Census Area",,9636,9636,0,0,0,9636,0,9636,7127,46,1315,354,54,46,694
"G0202700","2010","4","9","Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wade Hampton Census Area",,7459,7459,0,0,0,7459,0,7459,201,1,7085,18,0,3,151
"G0202750","2010","4","9","Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wrangell City and Borough",,2369,2369,0,0,0,2369,0,2369,1719,4,384,33,1,5,223
