GISJOIN,id,Temp,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
G0500610,05006,G05006,2010,3,7,Arkansas,5,Howard County,61,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Howard County,,13789
G0500630,05006,G05006,2010,3,7,Arkansas,5,Independence County,63,,,,,,,,,,,,,,12900,99999,999,,,,,,,,,,,,,,Independence County,,36647
G0500650,05006,G05006,2010,3,7,Arkansas,5,Izard County,65,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Izard County,,13696
G0500670,05006,G05006,2010,3,7,Arkansas,5,Jackson County,67,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Jackson County,,17997
G0500690,05006,G05006,2010,3,7,Arkansas,5,Jefferson County,69,,,,,,,,,,,,,,38220,99999,340,,,,,,,,,,,,,,Jefferson County,,77435
G0500710,05007,G05007,2010,3,7,Arkansas,5,Johnson County,71,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Johnson County,,25540
G0500730,05007,G05007,2010,3,7,Arkansas,5,Lafayette County,73,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Lafayette County,,7645
G0500750,05007,G05007,2010,3,7,Arkansas,5,Lawrence County,75,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Lawrence County,,17415
G0500770,05007,G05007,2010,3,7,Arkansas,5,Lee County,77,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Lee County,,10424
G0500790,05007,G05007,2010,3,7,Arkansas,5,Lincoln County,79,,,,,,,,,,,,,,38220,99999,340,,,,,,,,,,,,,,Lincoln County,,14134
G0500810,05008,G05008,2010,3,7,Arkansas,5,Little River County,81,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Little River County,,13171
G0500830,05008,G05008,2010,3,7,Arkansas,5,Logan County,83,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Logan County,,22353
G0500850,05008,G05008,2010,3,7,Arkansas,5,Lonoke County,85,,,,,,,,,,,,,,30780,99999,340,,,,,,,,,,,,,,Lonoke County,,68356
G0500870,05008,G05008,2010,3,7,Arkansas,5,Madison County,87,,,,,,,,,,,,,,22220,99999,999,,,,,,,,,,,,,,Madison County,,15717
G0500890,05008,G05008,2010,3,7,Arkansas,5,Marion County,89,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Marion County,,16653
G0500910,05009,G05009,2010,3,7,Arkansas,5,Miller County,91,,,,,,,,,,,,,,45500,99999,999,,,,,,,,,,,,,,Miller County,,43462
G0500930,05009,G05009,2010,3,7,Arkansas,5,Mississippi County,93,,,,,,,,,,,,,,14180,99999,999,,,,,,,,,,,,,,Mississippi County,,46480
